,index,0_dist,0_angle,1_dist,1_angle,2_dist,2_angle,3_dist,3_angle,4_dist,4_angle,5_dist,5_angle,6_dist,6_angle,7_dist,7_angle,8_dist,8_angle,9_dist,9_angle,10_dist,10_angle,11_dist,11_angle,12_dist,12_angle,13_dist,13_angle,14_dist,14_angle,15_dist,15_angle,16_dist,16_angle,17_dist,17_angle,18_dist,18_angle,19_dist,19_angle,20_dist,20_angle,Label
106,victory_up_106,131.11786945954384,-1.276382710656079,96.52135453922189,1.5402037025694189,59.88433674048728,1.1039481597324747,48.022221802495494,0.4636476090008061,32.418255823803925,0.1697369089218265,15.699271326447148,-0.2891325685642732,37.992987776449034,-1.413477697475857,67.24964490039352,-1.2851045254217133,90.62450250078474,-1.268820492085903,34.340597606782104,-0.13071885772426628,56.443739171054006,1.1501735094387526,87.50205698910318,1.4211260123022051,112.74429761185675,1.5082457853211473,47.02016260722603,-0.2906807736810769,17.52387422348304,1.5680789421791208,21.18940607249802,0.4636476090008061,36.164182177430185,0.952842872289373,53.293352361206274,-0.5637138757851298,2.6886846120939256,-1.170555669760927,24.57816445140796,1.0629450939034,42.49807251865023,1.2610933822524402,victory_up
107,victory_up_107,129.27462900822968,-1.278986711529355,95.98549588089406,1.5102342950079968,60.156749140226815,1.0713864299300633,47.59928161198783,0.4524623931547844,30.937358992097156,0.09093859399397423,15.933677735155833,-0.3066288337661221,38.629820586546266,-1.4198339696203222,67.849807456485,-1.2898937622635234,90.56582026600056,-1.2586896370322918,34.402051302020475,-0.11096293807051574,56.19842558781122,1.1454311050873769,87.19396107571077,1.4189359037333928,112.42066489614626,1.5067921877177801,47.67625135547738,-0.25030807003433325,18.191473420683106,1.560325505290199,20.833265306011363,0.5455154969254972,38.325997523453964,1.027606750507069,53.40702816667833,-0.5258923069698687,3.8142827418096608,-1.52083793107295,27.036592319725457,1.0772128249720507,44.408559776307705,1.3016288340091964,victory_up
108,victory_up_108,125.76832352311156,-1.2836551652038006,92.77522638283071,1.5127638748614354,58.43152086319069,1.083092112740013,45.34056064837861,0.47210208111417556,29.425527658897412,0.05504967224174481,17.249009962058718,-0.27109462630897235,38.63017278544204,-1.457144287457678,67.65180293169796,-1.3109647351669498,90.99243695366357,-1.2881116768454097,35.91729603122999,-0.12895946784426082,56.07439583696577,1.1162635432236305,86.62345861697302,1.4012193005598046,112.79186378080377,1.4854112167567164,48.29674899740994,-0.26434959554851784,15.564145668345809,-1.4172165497265228,25.693333615750422,0.513399051083319,43.73681855201811,0.9516859366363224,53.68341733768587,-0.5188160449439537,3.67161076689547,-1.4013832829052857,27.652688871320628,1.023879575954952,46.593528693368725,1.2115471876613146,victory_up
109,victory_up_109,128.96490935834052,-1.2767223853304115,97.495764196611,1.5336677471302211,61.49405885430246,1.0867151229507508,50.39600549264306,0.4835097473213206,34.788411290122184,0.09871523409304347,16.005809602862477,-0.28034297451039597,39.13523851242045,-1.4008467260738493,67.78358586318413,-1.2617089479599384,90.88451718996261,-1.2271732252715362,35.657033475615734,-0.1245206397332533,58.85854906626516,1.143700136012351,88.74439077160899,1.4080294373957736,113.95820135176231,1.4883838312871542,48.01731074851315,-0.2618161384363563,20.708756788125918,1.4555682893067146,19.983212909488298,0.49135906349096437,38.428600932307056,1.0044472651169818,53.88431380630563,-0.5340540209241325,3.4010135877465046,-0.7952988299854288,27.495371698753345,1.0939813920693309,46.46909098781208,1.2733521676646904,victory_up
110,victory_up_110,131.39631246616176,-1.2883648713102325,98.20018657818798,1.5567332384371193,62.06018949521029,1.095824562205057,49.61941321499536,0.4636476090008061,31.542721991889003,0.10132104696141986,14.215701452986874,-0.6140190370079426,37.75157487967477,-1.3469283581242055,66.34893673523104,-1.2426908874512725,90.08694464999843,-1.2268123525345893,33.402173812784994,-0.21696800426398594,58.69566769273256,1.1191220207785249,90.17253555157718,1.3967053629991257,115.21177385348737,1.4872088808906252,48.73094720420996,-0.2954814825934399,18.99098724058024,1.4324453566177726,20.550529507498098,0.4636476090008061,38.38948859345644,0.9483839025844636,55.70577875631999,-0.5099214792912494,5.67706129465856,0.14308329366815464,22.83773978038644,0.9978301839061897,42.476217168473376,1.174884131331611,victory_up
111,victory_up_111,131.3341620886176,-1.3006646303788685,100.64906139696836,1.5315172972924407,62.66118444684222,1.090494921096783,47.6244758810829,0.44665461155981057,30.062557602681,0.08564056896258526,13.982820687415582,-0.6598484262889238,38.729160148459044,-1.3109067497533755,68.39482880824946,-1.2285685645499096,92.14582251903636,-1.2166829748134094,33.51396635796908,-0.1670173975005165,58.59095686842269,1.1478682854128792,90.68572228723421,1.4040937832275595,116.9515375337976,1.4761920504213688,48.69824713864367,-0.2611062969705007,18.678871131772635,1.4069049831686657,19.978446435983592,0.5575887042677111,39.57326223474921,1.01283476646691,56.201976224322166,-0.4723628108489887,6.074555683946728,-0.09420848834508054,24.192585209901047,1.1009868239511393,44.52709435298104,1.2043903060936056,victory_up
112,victory_up_112,130.76523423777732,-1.3055024376829139,101.3002317936699,1.524241753698113,61.80247960446873,1.069235858884788,47.7411054745011,0.4136669375950037,29.714896208624772,0.006410168610312048,14.554456346648106,-0.6834274891899782,39.77584585941823,-1.3499198789879643,68.3504541352789,-1.247503583711203,91.75419445206025,-1.2410039303337883,33.076733435824345,-0.21913740305391555,59.03609718617123,1.146839054291001,90.29039821083022,1.3894333229836013,116.45936879658443,1.4651061017102875,48.41215716585295,-0.2974864934015888,18.94789370185934,1.4498702464904378,20.952867959708094,0.5634173941777079,39.12402513039308,1.012842089416301,54.9313321080559,-0.49699443599521037,4.447986117206997,-0.270946850338424,25.092662739454532,1.085080993404458,44.36347499725648,1.2565133864692797,victory_up
113,victory_up_113,132.60660794868153,-1.2969853664940008,101.71523318624166,1.5398928195005739,61.94958084517945,1.081019865071661,47.837404126479235,0.44673025603065214,31.256817850374993,0.08541855588676597,14.5238095238095,-0.8248208831947754,38.00361004453702,-1.2732186294022765,68.14157597544421,-1.1928853240782653,92.47644794236143,-1.2042509819323381,32.76668016138016,-0.23616676572919548,57.936649271408385,1.127366550826547,89.74534393142419,1.3931733771449255,115.9412334526094,1.4683486549344755,50.05414302093372,-0.29737981615493986,18.29618995565536,1.2449305692911443,17.13081587688427,0.599567238312525,36.00910063856339,1.0746158214472907,57.895538895810255,-0.4982307972385277,9.862777317633867,0.03380354369345615,20.44942880185155,0.8727783962866777,42.245181131085076,0.962471318176323,victory_up
114,victory_up_114,130.28225071976502,-1.3094169710148855,101.94927821617074,1.528278721182708,61.32728822619779,1.0720692989066694,46.86848972175426,0.39088336311591004,31.463328544257664,0.09093393487818184,11.085730649636112,-0.9255770066340572,38.18922928732773,-1.2419480997889307,68.03527163127256,-1.189250178806914,92.01106608000549,-1.2117227914297022,29.258911466880626,-0.20154491362974722,58.58846055112361,1.1362314246882825,88.72234965778458,1.381821620527864,114.84352955730304,1.4602764745472854,47.442075912563375,-0.2744392066537625,17.10856358218904,1.23320202783017,18.787992498708284,0.6161245830372133,37.625828201460294,1.0618539400423284,57.33517241157347,-0.4484184744212086,10.701050025830606,-0.08018484730131649,20.616408057155304,1.1546826882651398,41.23034129235289,1.163478096985503,victory_up
115,victory_up_115,128.49994485471348,-1.319885682196408,101.60402888078434,1.5206272914336887,61.36306954394373,1.0581955036195354,46.50394370422094,0.38526009677091144,29.20041778969899,0.0849017934497222,11.724927415659968,-0.9411042508310716,39.129791586068535,-1.2833026774379759,67.59189595722972,-1.2220855134119524,90.33745001539198,-1.2428781559880073,29.855965648547652,-0.2531022755239315,59.9054621807809,1.1050157668872156,90.31636258992012,1.3712293299691063,116.48133968293405,1.442486178185195,47.180480417502174,-0.31185620764282107,17.95358086175672,1.3515520069913514,20.426351305712885,0.4824149569364538,37.643030330013325,0.9434881345191346,57.37842318077433,-0.4796076494276443,7.335342952843309,-0.34433398333938753,23.73058342243529,1.1313809574531175,42.54182948858485,1.2578950989145126,victory_up
